-----------EB Tester Software-----------,,,,,,,
*Step,Mode,Capacity,Energy,,,,
*1-1,D-CC,2.993,9.66,,,,
*1-2,D-CC,3.998,12.99,,,,
*1-3,D-CC,2.996,9.501,,,,
*1-4,Wait,0,0,,,,
*1-5,C-CV,0.492,1.609,,,,
*1-6,C-CV,0.288,0.945,,totalCap discharge:,,15.883
*1-7,D-CC,3.397,10.79,,,,
*1-8,D-CC,3.279,10.21,,,,
Title:EB Tester Software,,,,,,,
------------www.zketech.com--------------,,,,,,,
Time(S),Cur(A),Vol(V),,,,,
449,15,3.225,,,,,
451,15,3.225,,,,,
453,15,3.225,,,,,
455,15,3.225,,,,,
457,15,3.225,,,,,
459,15,3.225,,,,,
461,15,3.225,,,,,
463,15,3.225,,,,,
467,15,3.225,,,,,
469,15,3.225,,,,,
471,15,3.225,,,,,
473,15,3.225,,,,,
475,15,3.225,,,,,
477,15,3.225,,,,,
479,15,3.225,,,,,
481,15,3.225,,,,,
483,15,3.225,,,,,
485,15,3.225,,,,,
487,15,3.225,,,,,
489,15,3.225,,,,,
491,15,3.225,,,,,
493,15,3.225,,,,,
495,15,3.225,,,,,
497,15,3.224,,,,,
499,15,3.224,,,,,
501,15,3.224,,,,,
503,15,3.224,,,,,
505,15,3.224,,,,,
507,15,3.224,,,,,
509,15,3.224,,,,,
511,15,3.224,,,,,
513,15,3.224,,,,,
515,15,3.224,,,,,
517,15,3.224,,,,,
519,15,3.224,,,,,
521,15,3.224,,,,,
523,15,3.224,,,,,
525,15,3.224,,,,,
527,15,3.224,,,,,
529,15,3.224,,,,,
531,15,3.224,,,,,
533,15,3.224,,,,,
535,15,3.224,,,,,
537,15,3.224,,,,,
539,15,3.224,,,,,
541,15,3.224,,,,,
543,15,3.224,,,,,
545,15,3.224,,,,,
547,15,3.224,,,,,
549,15,3.224,,,,,
551,15,3.224,,,,,
553,15,3.224,,,,,
555,15,3.224,,,,,
557,15,3.224,,,,,
559,15,3.224,,,,,
561,15,3.224,,,,,
563,15,3.223,,,,,
565,15,3.223,,,,,
567,15,3.224,,,,,
569,15,3.223,,,,,
571,15,3.223,,,,,
573,15,3.223,,,,,
575,15,3.223,,,,,
577,15,3.223,,,,,
579,15,3.223,,,,,
581,15,3.223,,,,,
583,15,3.223,,,,,
585,15,3.223,,,,,
587,15,3.223,,,,,
589,15,3.223,,,,,
591,15,3.223,,,,,
593,15,3.223,,,,,
595,15,3.223,,,,,
597,15,3.223,,,,,
599,15,3.223,,,,,
601,15,3.223,,,,,
603,15,3.223,,,,,
605,15,3.223,,,,,
607,15,3.223,,,,,
609,15,3.223,,,,,
611,15,3.223,,,,,
613,15,3.223,,,,,
615,15,3.222,,,,,
617,15,3.222,,,,,
619,15,3.223,,,,,
621,15,3.222,,,,,
623,15,3.222,,,,,
625,15,3.222,,,,,
627,15,3.222,,,,,
629,15,3.222,,,,,
631,15,3.222,,,,,
